id,from,to,label,weight
1,1,2,1001,1
2,3,4,1002,1
3,3,5,1002,1
4,4,5,1002,1
5,6,7,1004,1
6,6,8,1004,1
7,7,8,1004,1
8,9,10,1005,1
9,11,12,1006,1
10,11,13,1006,1
11,12,13,1006,1
12,12,14,1007,1
13,12,15,1007,1
14,12,16,1007,1
15,12,17,1007,1
16,14,15,1007,1
17,14,16,1007,1
18,14,17,1007,1
19,15,16,1007,1
20,15,17,1007,1
21,16,17,1007,1
22,18,19,2002,1
23,18,11,2002,1
24,18,20,2002,1
25,19,11,2002,1
26,19,20,2002,1
27,11,20,2002,1
28,21,22,2003,1
29,21,13,2003,1
30,21,23,2003,1
31,21,24,2003,1
32,21,25,2003,1
33,22,13,2003,1
34,22,23,2003,1
35,22,24,2003,1
36,22,25,2003,1
37,13,23,2003,1
38,13,24,2003,1
39,13,25,2003,1
40,23,24,2003,1
41,23,25,2003,1
42,24,25,2003,1
43,21,26,2004,1
44,21,27,2004,1
45,21,28,2004,1
46,21,29,2004,1
47,26,27,2004,1
48,26,28,2004,1
49,26,29,2004,1
50,27,28,2004,1
51,27,29,2004,1
52,28,29,2004,1
53,11,4,2005,1
54,11,30,2005,1
55,4,30,2005,1
56,31,32,2006,1
57,31,33,2006,1
58,31,21,2006,1
59,32,33,2006,1
60,32,21,2006,1
61,33,21,2006,1
62,34,35,2007,1
63,34,36,2007,1
64,34,37,2007,1
65,34,38,2007,1
66,34,39,2007,1
67,34,40,2007,1
68,35,36,2007,1
69,35,37,2007,1
70,35,38,2007,1
71,35,39,2007,1
72,35,40,2007,1
73,36,37,2007,1
74,36,38,2007,1
75,36,39,2007,1
76,36,40,2007,1
77,37,38,2007,1
78,37,39,2007,1
79,37,40,2007,1
80,38,39,2007,1
81,38,40,2007,1
82,39,40,2007,1
83,41,42,2008,1
84,41,21,2008,1
85,41,7,2008,1
86,41,28,2008,1
87,42,21,2008,1
88,42,7,2008,1
89,42,28,2008,1
90,21,7,2008,1
91,21,28,2008,1
92,7,28,2008,1
95,43,21,2009,1
96,43,44,2009,1
97,43,45,2009,1
99,21,44,2009,1
100,21,45,2009,1
101,44,45,2009,1
102,35,46,2010,1
103,35,47,2010,1
104,35,39,2010,1
105,35,48,2010,1
106,35,49,2010,1
107,35,50,2010,1
108,46,47,2010,1
109,46,39,2010,1
110,46,48,2010,1
111,46,49,2010,1
112,46,50,2010,1
114,47,39,2010,1
115,47,48,2010,1
116,47,49,2010,1
117,47,50,2010,1
118,39,48,2010,1
119,39,49,2010,1
120,39,50,2010,1
121,48,49,2010,1
122,48,50,2010,1
123,49,50,2010,1
124,42,51,2011,1
125,42,52,2011,1
126,42,53,2011,1
127,51,52,2011,1
129,51,53,2011,1
131,52,53,2011,1
132,51,45,2012,1
133,42,21,2013,1
134,42,41,2013,1
135,42,54,2013,1
136,42,5,2013,1
137,21,41,2013,1
139,21,54,2013,1
140,21,5,2013,1
143,41,54,2013,1
144,41,5,2013,1
145,54,5,2013,1
146,55,21,2014,1
147,55,42,2014,1
148,55,56,2014,1
149,55,57,2014,1
150,55,58,2014,1
151,21,42,2014,1
152,21,56,2014,1
153,21,57,2014,1
154,21,58,2014,1
156,42,56,2014,1
157,42,57,2014,1
158,42,58,2014,1
159,56,57,2014,1
161,56,58,2014,1
163,57,58,2014,1
164,58,59,2015,1
165,58,60,2015,1
166,58,61,2015,1
167,59,60,2015,1
168,59,61,2015,1
169,60,61,2015,1
170,62,17,2016,1
171,62,11,2016,1
172,62,63,2016,1
173,62,64,2016,1
174,62,49,2016,1
175,17,11,2016,1
176,17,63,2016,1
177,17,64,2016,1
178,17,49,2016,1
179,11,63,2016,1
180,11,64,2016,1
181,11,49,2016,1
182,63,64,2016,1
183,63,49,2016,1
185,64,49,2016,1
188,65,66,2017,1
189,65,67,2017,1
190,65,68,2017,1
191,65,69,2017,1
192,65,70,2017,1
193,65,71,2017,1
194,65,72,2017,1
195,65,37,2017,1
196,66,67,2017,1
197,66,68,2017,1
198,66,69,2017,1
199,66,70,2017,1
200,66,71,2017,1
201,66,72,2017,1
202,66,37,2017,1
203,67,68,2017,1
204,67,69,2017,1
205,67,70,2017,1
206,67,71,2017,1
207,67,72,2017,1
208,67,37,2017,1
209,68,69,2017,1
210,68,70,2017,1
212,68,71,2017,1
213,68,72,2017,1
214,68,37,2017,1
215,69,70,2017,1
217,69,71,2017,1
218,69,72,2017,1
219,69,37,2017,1
221,70,71,2017,1
222,70,72,2017,1
223,70,37,2017,1
224,71,72,2017,1
225,71,37,2017,1
226,72,37,2017,1
227,73,74,2018,1
228,73,75,2018,1
229,73,76,2018,1
230,74,75,2018,1
231,74,76,2018,1
232,75,76,2018,1
233,77,1,2019,1
234,77,72,2019,1
235,77,78,2019,1
236,77,79,2019,1
237,77,80,2019,1
238,77,81,2019,1
239,77,82,2019,1
240,77,83,2019,1
241,77,84,2019,1
242,77,85,2019,1
243,77,86,2019,1
244,77,31,2019,1
245,1,72,2019,1
246,1,78,2019,1
247,1,79,2019,1
248,1,80,2019,1
249,1,81,2019,1
250,1,82,2019,1
251,1,83,2019,1
252,1,84,2019,1
253,1,85,2019,1
254,1,86,2019,1
255,1,31,2019,1
256,72,78,2019,1
257,72,79,2019,1
258,72,80,2019,1
259,72,81,2019,1
260,72,82,2019,1
261,72,83,2019,1
262,72,84,2019,1
263,72,85,2019,1
264,72,86,2019,1
265,72,31,2019,1
266,78,79,2019,1
267,78,80,2019,1
268,78,81,2019,1
269,78,82,2019,1
270,78,83,2019,1
271,78,84,2019,1
272,78,85,2019,1
273,78,86,2019,1
274,78,31,2019,1
275,79,80,2019,1
