id,root,transliteration,meanings,label
1, سمو, smw, [], root
2, رحم, rHm, [], root
3, حمد, Hmd, [], root
4, ربب, rbb, [], root
5, علم, Elm, [], root
6, ملك, mlk, [], root
7, يوم, ywm, [], root
8, دين, dyn, [], root
9, عبد, Ebd, [], root
10, عون, Ewn, [], root
11, هدي, hdy, [], root
12, صرط, SrT, [], root
13, قوم, qwm, [], root
14, نعم, nEm, [], root
15, غير, gyr, [], root
16, غضب, gDb, [], root
17, ضلل, Dll, [], root
18, كتب, ktb, [], root
19, ريب, ryb, [], root
20, وقي, wqy, [], root
21, امن, Amn, [], root
22, غيب, gyb, [], root
23, صلو, Slw, [], root
24, رزق, rzq, [], root
25, نفق, nfq, [], root
26, نزل, nzl, [], root
27, قبل, qbl, [], root
28, اخر, Axr, [], root
29, يقن, yqn, [], root
30, فلح, flH, [], root
31, كفر, kfr, [], root
32, سوي, swy, [], root
33, نذر, npr, [], root
34, ختم, xtm, [], root
35, قلب, qlb, [], root
36, سمع, smE, [], root
37, بصر, bSr, [], root
38, غشو, g$w, [], root
39, عذب, Epb, [], root
40, عظم, EZm, [], root
41, نوس, nws, [], root
42, قول, qwl, [], root
43, خدع, xdE, [], root
44, نفس, nfs, [], root
45, شعر, $Er, [], root
46, مرض, mrD, [], root
47, زيد, zyd, [], root
48, الم, Alm, [], root
49, كون, kwn, [], root
50, كذب, kpb, [], root
51, فسد, fsd, [], root
52, ارض, ArD, [], root
53, صلح, SlH, [], root
54, سفه, sfh, [], root
55, لقي, lqy, [], root
56, خلو, xlw, [], root
57, شطن, $Tn, [], root
58, هزا, hzA, [], root
59, مدد, mdd, [], root
60, طغي, Tgy, [], root
61, عمه, Emh, [], root
62, شري, $ry, [], root
63, ربح, rbH, [], root
64, تجر, tjr, [], root
65, مثل, mvl, [], root
66, وقد, wqd, [], root
67, نور, nwr, [], root
68, ضوا, DwA, [], root
69, حول, Hwl, [], root
70, ذهب, phb, [], root
71, ترك, trk, [], root
72, ظلم, Zlm, [], root
73, صمم, Smm, [], root
74, بكم, bkm, [], root
75, عمي, Emy, [], root
76, رجع, rjE, [], root
77, صوب, Swb, [], root
78, رعد, rEd, [], root
79, برق, brq, [], root
80, جعل, jEl, [], root
81, صبع, SbE, [], root
82, اذن, Apn, [], root
83, صعق, SEq, [], root
84, حذر, Hpr, [], root
85, موت, mwt, [], root
86, حوط, HwT, [], root
87, كود, kwd, [], root
88, خطف, xTf, [], root
89, كلل, kll, [], root
90, مشي, m$y, [], root
91, شيا, $yA, [], root
92, قدر, qdr, [], root
93, خلق, xlq, [], root
94, فرش, fr$, [], root
95, بني, bny, [], root
96, موه, mwh, [], root
97, خرج, xrj, [], root
98, ثمر, vmr, [], root
99, ندد, ndd, [], root
100, اتي, Aty, [], root
101, سور, swr, [], root
102, دعو, dEw, [], root
103, شهد, $hd, [], root
104, دون, dwn, [], root
105, صدق, Sdq, [], root
106, فعل, fEl, [], root
107, حجر, Hjr, [], root
108, عدد, Edd, [], root
109, بشر, b$r, [], root
110, عمل, Eml, [], root
111, جنن, jnn, [], root
112, جري, jry, [], root
113, تحت, tHt, [], root
114, نهر, nhr, [], root
115, شبه, $bh, [], root
116, زوج, zwj, [], root
117, طهر, Thr, [], root
118, خلد, xld, [], root
119, حيي, Hyy, [], root
120, ضرب, Drb, [], root
121, بعض, bED, [], root
122, فوق, fwq, [], root
123, حقق, Hqq, [], root
124, رود, rwd, [], root
125, كثر, kvr, [], root
126, فسق, fsq, [], root
127, نقض, nqD, [], root
128, عهد, Ehd, [], root
129, بعد, bEd, [], root
130, وثق, wvq, [], root
131, قطع, qTE, [], root
132, امر, Amr, [], root
133, وصل, wSl, [], root
134, خسر, xsr, [], root
135, كيف, kyf, [], root
136, جمع, jmE, [], root
137, سبع, sbE, [], root
138, خلف, xlf, [], root
139, سفك, sfk, [], root
140, دمو, dmw, [], root
141, سبح, sbH, [], root
142, قدس, qds, [], root
143, عرض, ErD, [], root
144, نبا, nbA, [], root
145, حكم, Hkm, [], root
146, بدو, bdw, [], root
147, كتم, ktm, [], root
